ID;Hora de Origem (UTC);Longitude;Latitude;UTM X;UTM Y;MLv;Energia;Cat
;;(°);(°);(m);(m);;(J);
MC_20230830_183917;2023-08-30T18:39:17;-49.7253;-27.1233;626336.618862;6999266.44189;1.3;192765;Q
MC_20230824_152934;2023-08-24T15:29:34;-49.8028;-27.1492;618629.462626;6996476.02937;1.5;489398;Q
MC_20230822_153204;2023-08-22T15:32:04;-49.8803;-26.8769;611218.775018;7026705.23993;1.7;1.40658e+06;Q
MC_20230818_154804;2023-08-18T15:48:04;-49.7430;-27.2696;624424.507215;6983077.41156;1.5;665616;Q
MC_20230815_192736;2023-08-15T19:27:36;-49.8482;-27.9594;613296.921642;6906757.82123;1.2;150265;Q
MC_20230815_191541;2023-08-15T19:15:41;-50.5589;-27.8340;543432.326063;6921103.12988;1.5;620197;E
MC_20230815_152902;2023-08-15T15:29:02;-49.7932;-27.1799;619550.276943;6993060.09957;1.8;2.4461e+06;Q
MC_20230814_152826;2023-08-14T15:28:26;-49.8405;-27.0239;615021.725593;7010383.35097;1.1;86207.8;Q
MC_20230809_105318;2023-08-09T10:53:18;-51.3027;-27.6952;470149.715819;6936521.18652;-0.9;14.7546;I
MC_20230808_180349;2023-08-08T18:03:49;-51.6466;-27.3376;436040.353134;6976001.65822;0.5;7229.98;Q
MC_20230808_124749;2023-08-08T12:47:49;-51.9186;-28.7091;410272.747599;6823898.06294;1.3;201872;Q
MC_20230803_180211;2023-08-03T18:02:11;-52.0653;-28.7992;396036.657625;6813799.30933;1.5;541480;Q
MC_20230802_202746;2023-08-02T20:27:46;-50.5841;-27.9327;540915.563816;6910184.36942;1.4;335748;Q
MC_20230802_154527;2023-08-02T15:45:27;-51.2518;-27.4233;475109.322084;6966653.99253;0.8;24333.2;Q
MC_20230801_182340;2023-08-01T18:23:40;-49.6500;-27.1915;633720.640409;6991634.83687;1.2;142694;Q
MC_20230801_181715;2023-08-01T18:17:15;-49.6761;-27.6211;630624.329679;6944073.90359;1.9;3.50567e+06;Q
